,Objective Question,Original Answer,Sub Ques 1 ,Label 1,Sub Ques 2,Label 2,Sub Ques 3,Label 3,,,,,,,,,,,,,,,,,,,
324,"in a study of punishment, shock is administered to a hamster through a wire grid on the bottom of the cage. To the researcher's surprise, the hamster learns to roll on its back when shocked so that its fur insulates it from the shock. The hamster's response demonstrates",negative reinforcement,Where is shock administered to a hamster through a wire grid in a study of punishment?,1,What is shock administered to a hamster through a wire grid on in a study of punishment?,0,What is shock administered to a hamster through a wire grid on the bottom of the cage in?,0,,,,,,,,,,,,,,,,,,,
325,Which stage in the PLC is characterized by rapid market acceptance and increasing sales?,growth,,0,,0,,0,,,,,,,,,,,,,,,,,,,
326,"from as early as I can remember, the Emperor was an important presence even in our remote home.  He was a descendant of the gods from thousands of years before, never to be looked at or listened to by mere mortals, a presence to be revered and protected and obeyed Finally , my family and neighbors gathered around the radio and listened in stunned silence to the voice that had never before been heard, saying he was only human after all.  Everyone was crying.  I was sad and confused",defeat of the Japanese in World War II,Who was I sad and confused defeat of in World War II?,0,Who was sad and confused defeat of the Japanese in World War II?,0,What was I sad and confused defeat of the Japanese in?,0,,,,,,,,,,,,,,,,,,,
327,an authorization bill,"establishes, continues, or changes a discretionary program or an entitlement","What establishes, continues, or changes a discretionary program or an entitlement?",1,,,,,,,,,,,,,,,,,,,,,,,
328,the soma is the part of the nerve cell that,collects and combines incoming information,What is the part of the nerve cell that collects and combines incoming information?,1,What is the soma the part of that collects and combines incoming information?,0,What is the soma?,1,,,,,,,,,,,,,,,,,,,
329,"Of the four Arab-Israeli wars fought since 1948, Jewish forces have won?",all,What have won of the four Arab-Israeli wars fought since 1948?,0,What have jewish forces won of?,0,Have jewish forces won of the four Arab-Israeli wars fought since 1948?,0,,,,,,,,,,,,,,,,,,,
330,the purchase price of land is,the price a person pays to own the factor of production,,0,,0,,0,,,,,,,,,,,,,,,,,,,
331,"Consider the following two sentences. Although the Volcker disinflation came at the cost of high unemployment, the cost was less than most economists predicted. The cost of the disinflation might have been even greater if people had believed that Volcker would really reduce inflation as much as he did",Only the first sentence is true,What might have been even greater if people had believed that Volcker would really reduce inflation as much as he did Only the first sentence is true?,0,What came at the cost of high unemployment?,0,What did the Volcker disinflation come at?,1,,,,,,,,,,,,,,,,,,,
332,americans are usually least interested in,foreign policy,Who are usually least interested in foreign policy?,1,What are americans usually least interested in?,1,Are americans usually least interested in foreign policy?,0,,,,,,,,,,,,,,,,,,,
333,in the long run a higher savings rate leads to,"A and B, but not C","When leads to A and B, but not C in the long run?",0,"When does a higher savings rate lead to A and B, but not C?",0,What does a higher savings rate lead to in the long run?,1,,,,,,,,,,,,,,,,,,,
334,"to be confident that a cause-and-effect relationship exists, it is necessary to",perform a controlled experiment,What is necessary to perform a controlled experiment?,0,Is a cause-and-effect relationship necessary to perform a controlled experiment?,0,Is it necessary to perform a controlled experiment?,0,,,,,,,,,,,,,,,,,,,
335,Which was an immediate result of the European Age of Exploration?,European influence spread to the Western hemisphere,What was an immediate result of the European Age of Exploration?,1,Who was which an immediate result of?,1,Where did european influence spread?,0,,,,,,,,,,,,,,,,,,,
336,there is a strong relationship between dating frequency and physical attractiveness,for females,,0,,0,,0,,,,,,,,,,,,,,,,,,,
337,"according to political scientist Gary Jacobson's research, a Congressional incumbent whospends a tremendous amount of money to get reelected",is more likely to lose,Who is political scientist Gary Jacobson's research?,0,Who is a Congressional incumbent whospends?,0,Is political scientist Gary Jacobson's research a Congressional incumbent whospends?,0,,,,,,,,,,,,,,,,,,,
338,"brad, a U.S. resident, builds and operates a boxing gym in Thailand. The purchase represents",investment for Brad and U.S. foreign direct investment,What represents investment for Brad and U. S. foreign direct investment?,1,What is a U. S. resident?,0,What does the purchase represent?,0,,,,,,,,,,,,,,,,,,,
339,the ratio of what a country pays for imports to what it earns in exports is known as its,balance of trade,What is the ratio of what a country pays for imports to what it earns in exports known as?,0,What is known as its balance of trade?,1,Is the ratio of what a country pays for imports to what it earns in exports known as its balance of trade?,0,,,,,,,,,,,,,,,,,,,
340,"in cooperative federalism, in order to qualify for federal grant money, cities and states must",follow federal guidelines for adopting and enforcing federal laws,What must cities and states follow federal guidelines for enforcing federal laws in cooperative federalism in?,0,What must cities and states follow for enforcing federal laws in cooperative federalism in order to qualify for federal grant money?,0,What must follow federal guidelines for enforcing federal laws in cooperative federalism in order to qualify for federal grant money?,1,,,,,,,,,,,,,,,,,,,
341,"Suppose that an increase in the price of carrots from $1.20 to $1.40 per pound raises the amount of carrots that carrot farmers are willing to supply from 1.2 million pounds to 1.6 million pounds. Using the midpoint method, what would be the elasticity of supply?",1.86,What would be the elasticity of supply?,0,What would what be the elasticity of?,0,What would what be?,0,,,,,,,,,,,,,,,,,,,
342,the political resource that has the most potential to turn a situation of stalemate between thepresident and Congress into one supportive of the president's legislative proposals is,public approval,What is public approval?,1,What is the political resource that has the most potential to turn a situation of stalemate between thepresident and Congress into one supportive of the president's legislative proposals?,1,,,,,,,,,,,,,,,,,,,,,
343,Which statement about the problems of Indian independence is a fact rather than an opinion?,Muslim leaders wanted their own separate Muslim state,Who wanted their own separate Muslim state?,1,What did muslim leaders want?,0,Did muslim leaders want their own separate Muslim state?,0,,,,,,,,,,,,,,,,,,,
344,"In Confucian thought, the ruler-subject relationship was modeled after?",the father-son relationship,What was modeled after in Confucian thought?,0,What was the ruler-subject relationship modeled after in?,1,Was the ruler-subject relationship modeled after in Confucian thought?,0,,,,,,,,,,,,,,,,,,,
345,The movement of peoples across the Fertile Crescent resulted in the?,constant exchange of ideas,What did the movement of peoples across the Fertile Crescent result in?,1,What resulted in the?,0,Did the movement of peoples across the Fertile Crescent result in the?,0,,,,,,,,,,,,,,,,,,,
346,if the allocation of power under dual federalism were compared to a cake it would be mostlike,"a layer cake, with two distinct layers",,0,,0,,0,,,,,,,,,,,,,,,,,,,
347,the primary goal of the American Revolution was,to restore the colonists ¹ rights as British subjects,What was to restore the colonists rights as British subjects?,1,Was the primary goal of the American Revolution to restore the colonists rights as British subjects?,0,,,,,,,,,,,,,,,,,,,,,
348,the Very First Thing You Should Know About South African Stocks and Bonds     Two Leading Financial Institutions Show You Around South Africa s Banking World,a renewed interest in investing in South Africa s economy,,0,,0,,0,,,,,,,,,,,,,,,,,,,
349,"The Canal was dug by Egypt s sons and 120,000 of them died while working.  The Suez Canal Company in Paris is an imposter company.  It usurped our concessions  Therefore, I have signed today the following law which has been approved by the Cabinet Article 1 of the decree reads,  The Universal Company of the Suez Maritime Canal Egyptian Joint-Stock Company   is hereby nationalized. All its assets, rights and obligations are hereby transferred to the Nation",take control of the Suez Canal,What is the Suez Canal Company in Paris?,0,What are hereby transferred to the Nation take control of the Suez Canal?,0,What was dug by Egypt s sons?,0,,,,,,,,,,,,,,,,,,,
350,"it is important for a mother to breast feed her baby, as it",appears to aid in attachment,What is important for a mother to breast feed her baby?,1,Who is it important for to breast feed her baby?,0,What does it appear to aid in?,0,,,,,,,,,,,,,,,,,,,
351,the modernization of Japan during the Meiji Restoration resulted in,the rise of Japan as an imperialistic nation,What resulted in the rise of Japan as an imperialistic nation?,1,What did the modernization of Japan during the Meiji Restoration result in as an imperialistic nation?,0,What did the modernization of Japan during the Meiji Restoration result in the rise of Japan as?,0,,,,,,,,,,,,,,,,,,,
352,the legislation passed by Congress in 1890 to reduce the market power of large and powerful “trusts” is called the,Sherman Act,What is called the Sherman Act?,1,What is the legislation passed by Congress in 1890 to reduce the market power of large and powerful ``trusts'' called?,1,Is the legislation passed by Congress in 1890 to reduce the market power of large and powerful ``trusts'' called the Sherman Act?,0,,,,,,,,,,,,,,,,,,,
353,opposition to Civil Rights laws for the handicapped has been justified primarily on the basisof the,high cost of programs to help the disabled,What has been justified primarily on the basisof the high cost of programs to help the disabled?,1,What has opposition to Civil Rights laws for the handicapped been justified primarily on the basisof to help the disabled?,0,What has opposition to Civil Rights laws for the handicapped been justified primarily on the high cost of programs to help the disabled?,0,,,,,,,,,,,,,,,,,,,
354,conversion disorder and hypochondriasis are classified as,somatoform disorders,What are conversion disorder and hypochondriasis classified as?,1,What are classified as somatoform disorders?,1,Are conversion disorder and hypochondriasis classified as somatoform disorders?,0,,,,,,,,,,,,,,,,,,,
355,fifth Amendment rights were expanded to include guidelines for police interrogationprocedures in the famous case of,Miranda v. Arizona,What were expanded to include guidelines for police interrogationprocedures in the famous case of Miranda v. Arizona?,1,Were fifth Amendment rights expanded to include guidelines for police interrogationprocedures in the famous case of Miranda v. Arizona?,0,,,,,,,,,,,,,,,,,,,,,
356,the chief antidote for test anxiety is,overpreparation,What is overpreparation?,1,Is the chief antidote for test anxiety overpreparation?,0,,,,,,,,,,,,,,,,,,,,,
357,"Based on data from 1998, what percent of all income in the United States did the top fifth of all families receive?",47 percent,,0,,0,,,,,,,,,,,,,,,,,,,,,
358,Hewlett-Packard's Customer Sales Group caused frustration among customers and salespeople. What was the primary problem with the sales force structure of CSG?,Salespeople were responsible for selling all H-P products instead of specializing in a few products,What Group caused frustration among customers and salespeople?,1,What did Hewlett-Packard's Customer Sales Group cause?,1,Who were responsible for selling all H-P products instead of specializing in a few products?,0,,,,,,,,,,,,,,,,,,,
359,"in Latin America, the Maya and the Aztec civilizations were similar in that they",developed complex mathematical and calendar systems,Where were the Maya and the Aztec civilizations similar in that they developed complex mathematical and calendar systems?,0,Who were similar in that they developed complex mathematical and calendar systems in Latin America?,1,What were the Maya and the Aztec civilizations similar in that they developed complex mathematical and calendar systems in?,0,,,,,,,,,,,,,,,,,,,
360,an orange grower in Florida who loses most of his orange trees to a hard freeze should expect the marginal productivity of his capital to,decrease,What should an orange grower in Florida who loses most of his orange trees to a hard freeze expect the marginal productivity of?,0,What should expect the marginal productivity of his capital to decrease?,0,What should an orange grower in Florida who loses most of his orange trees to a hard freeze expect?,1,,,,,,,,,,,,,,,,,,,
361,Most of the delegates at the Constitutional Convention regarded what as the greatest threat togovernment?,factions,Who regarded what as the greatest threat togovernment?,1,What did most of the delegates at the Constitutional Convention regard as the greatest threat togovernment?,1,What did most of the delegates at the Constitutional Convention regard what as togovernment?,0,,,,,,,,,,,,,,,,,,,
362,one major influence the Renaissance had on the Protestant Reformation was that the philosophers of the Renaissance,encouraged a questioning attitude,What was that the philosophers of the Renaissance encouraged a questioning attitude?,0,What was one major influence the Renaissance had on the Protestant Reformation that the philosophers of the Renaissance encouraged?,0,What was one major influence the Renaissance had on the Protestant Reformation?,1,,,,,,,,,,,,,,,,,,,
363,Which theory claims that emotions are organized in the brain and that emotional feelings and bodily expressions occur simultaneously?,the Cannon-Bard theory,,0,,0,,0,,,,,,,,,,,,,,,,,,,
364,richard Nixon believed he lost the 1960 presidential election because,he was sweating and had an ugly beard stubble during a debate with Kennedy,Who had an ugly beard stubble during a debate with Kennedy?,1,What did richard Nixon have during a debate with Kennedy?,0,Who believed he lost the 1960 presidential election because he was sweating and had an ugly beard stubble during a debate with Kennedy?,0,,,,,,,,,,,,,,,,,,,
365,a written opinion in a Supreme Court case is a,statement of the legal reasoning behind a decision,What is a written opinion in a Supreme Court case?,1,What is a written opinion in a Supreme Court case a statement of?,0,What is a statement of the legal reasoning behind a decision?,1,,,,,,,,,,,,,,,,,,,
366,In which type of buying situation would a supplier most likely focus on maintaining product and service quality?,straight rebuy,What situation would a supplier most likely focus on maintaining product and service quality in?,1,What would a supplier most likely focus on maintaining product and service quality in which type of buying?,0,Who situation would most likely focus on maintaining product and service quality in which type of buying?,0,,,,,,,,,,,,,,,,,,,
367,"barbara is applying conditioning principles to teach language skills to retarded children. As a psychologist, her point of view appears to be",behaviorist,Who is applying conditioning principles to teach language skills to retarded children?,0,What is barbara applying to teach language skills to retarded children?,1,What appears to be behaviorist as a psychologist?,1,,,,,,,,,,,,,,,,,,,
368,the marginal product of any factor of production depends on,the quantity of the factor used,What depends on the quantity of the factor used?,1,What does the marginal product of any factor of production depend on used?,0,Does the marginal product of any factor of production depend on the quantity of the factor used?,0,,,,,,,,,,,,,,,,,,,
369,The rivers of Japan?,are important for hydro-electricity,,0,,0,,0,,,,,,,,,,,,,,,,,,,
370,Which generalization about democracy is most valid?,democratic governments protect basic civil liberties,What protect basic civil liberties?,1,What do democratic governments protect?,1,Do democratic governments protect basic civil liberties?,0,,,,,,,,,,,,,,,,,,,
371,"Throughout most of its independent existence, Pakistan has been governed by?",a military dictatorship,What has Pakistan been governed by throughout?,1,What has been governed by throughout most of its independent existence?,0,Has Pakistan been governed by throughout most of its independent existence?,0,,,,,,,,,,,,,,,,,,,
372,"according to the rule of 70, if some variable grows at a rate of g percent per year, then that variable doubles in approximately",70/g years,If some variable grows at a rate of g percent per year what doubles in approximately 70\/g years?,1,If some variable grows at a rate of g percent per year when does then that variable double?,1,If some variable grows at a rate of g percent per year does then that variable double in approximately 70\/g years?,0,,,,,,,,,,,,,,,,,,,
373,the supply of loanable funds slopes,upward because an increase in the interest rate induces people to save more,What slopes upward because an increase in the interest rate induces people to save more?,1,What does an increase in the interest rate induce to save more?,0,What induces people to save more?,1,,,,,,,,,,,,,,,,,,,
374,the incoming flow of information from our sensory systems is referred to as,sensation,What is referred to as sensation?,1,What is the incoming flow of information from our sensory systems referred to as?,1,Is the incoming flow of information from our sensory systems referred to as sensation?,0,,,,,,,,,,,,,,,,,,,
375,"sim n Bol var, Jos  de San Mart n, and Toussaint l Ouverture are important in Latin American history because they were",leaders of liberation movements,Who were leaders of liberation movements?,1,What were leaders of liberation movements?,0,What were they leaders of?,0,,,,,,,,,,,,,,,,,,,
376,some believe the War Powers Resolution could be successfully overturned by the SupremeCourt because it,"uses a legislative veto, which may violate the separation of powers",What do some believe the War Powers Resolution could be successfully overturned by because it uses a legislative veto?,0,What believe the War Powers Resolution could be successfully overturned by the SupremeCourt because it uses a legislative veto?,0,What may the legislative veto violate the separation of?,0,,,,,,,,,,,,,,,,,,,
377,"if an industry becomes unionized,","wages in that industry tend to rise, while employment in that industry tends to fall","If an industry becomes unionized, what tend to rise?",1,What tends to fall?,0,"If an industry becomes unionized, do wages in that industry tend to rise?",0,,,,,,,,,,,,,,,,,,,
378,criticism of recovered memories has centered on the fact that,a patient guided by an incompetent therapist might confuse dreams with memories,What has centered on the fact that a patient guided by an incompetent therapist might confuse dreams with memories?,1,What has criticism of recovered memories centered on?,1,Has criticism of recovered memories centered on the fact that a patient guided by an incompetent therapist might confuse dreams with memories?,0,,,,,,,,,,,,,,,,,,,
379,Why was the Balkan region referred to as the  Powder Keg of Europe  prior to World War I?,Nationalistic and imperialistic rivalries were increasing,What were increasing?,0,Were nationalistic and imperialistic rivalries increasing?,0,,,,,,,,,,,,,,,,,,,,,
380,internalizing a positive production externality through a government subsidy will cause industry supply to,increase by an amount equal to the subsidy,,0,,0,,0,,,,,,,,,,,,,,,,,,,
381,price discrimination is the practice of,selling the same good at different prices to different customers,What is the practice of selling the same good at different prices to different customers?,1,What is price discrimination?,1,Is price discrimination the practice of selling the same good at different prices to different customers?,0,,,,,,,,,,,,,,,,,,,
382,"you offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is ""bigger."" The child is",in the preoperational stage,Who accepts the trade because the nickel is ``bigger?'',0,What does the child accept because the nickel is ``bigger?'',0,Who is in the preoperational stage?,1,,,,,,,,,,,,,,,,,,,
383,the watchdog orientation of the press can be characterized as,reformist,Who can the watchdog orientation of the press be characterized as?,1,What can be characterized as reformist?,1,Can the watchdog orientation of the press be characterized as reformist?,0,,,,,,,,,,,,,,,,,,,
384,stimulus motives differ from primary motives in that they,"appear to be innate, but are not necessary for survival","What differ from primary motives in that they appear to be innate, but are not necessary for survival?",1,"What do stimulus motives differ from in that they appear to be innate, but are not necessary for survival?",0,"Do stimulus motives differ from primary motives in that they appear to be innate, but are not necessary for survival?",0,,,,,,,,,,,,,,,,,,,
385,most cases heard by the Supreme Court come from,civil actions from lower federal courts,What come from civil actions from lower federal courts?,1,What do most cases heard by the Supreme Court come from civil actions from?,0,What do most cases heard by the Supreme Court come from from lower federal courts?,0,,,,,,,,,,,,,,,,,,,
386,"When countries import a product, domestic producers",lose but domestic consumers benefit,What import a product?,0,What do countries import?,1,Do countries import a product?,0,,,,,,,,,,,,,,,,,,,
387,the first party system (1796-1824) was characterized by,the dominance of the Democratic-Republican party,What was characterized by the dominance of the Democratic-Republican party?,1,What was the first party system characterized by?,1,Was the first party system characterized by the dominance of the Democratic-Republican party?,0,,,,,,,,,,,,,,,,,,,
388,"in a classic experiment, ""Little Albert,"" a very young boy, was conditioned to be afraid of a rat. He also became fearful of white furry rabbits and bearded men. This is an example of",stimulus generalization,Who was conditioned to be afraid of a rat in a classic experiment?,1,What was Little Albert conditioned to be afraid of a rat in?,,Who also became fearful of white furry rabbits and bearded men?,0,,,,,,,,,,,,,,,,,,,
389,the experience of the Volcker disinflation of the early 1980s,generally decreased estimates of the sacrifice ratio,What did the experience of the Volcker disinflation of the early 1980s generally decrease?,1,What generally decreased estimates of the sacrifice ratio?,1,What did the experience of the Volcker disinflation of the early 1980s generally decrease estimates of?,0,,,,,,,,,,,,,,,,,,,
390,"according to Karl Marx, history is the record of the",struggle between classes in society,When is the record of the struggle between classes in society?,0,What is history the record of?,0,What is history?,1,,,,,,,,,,,,,,,,,,,
391,one reason for the development of an early civilization in the Tigris-Euphrates river valleys was that,"periodic flooding left rich soil, which was ideal for farming",What was that periodic flooding left rich soil for farming?,0,What was one reason for the development of an early civilization in the Tigris-Euphrates river valleys that periodic flooding left rich soil for?,0,What was one reason for the development of an early civilization in the Tigris-Euphrates river valleys that periodic flooding left for farming?,0,,,,,,,,,,,,,,,,,,,
392,the survey method involves,careful questioning of a representative sample of people,What involves careful questioning of a representative sample of people?,1,What does the survey method involve careful questioning of?,1,Does the survey method involve careful questioning of a representative sample of people?,0,,,,,,,,,,,,,,,,,,,
393,"judaism, Islam, and Christianity share a belief in",monotheism and ethical conduct,What share a belief in monotheism and ethical conduct?,1,"What do judaism, Islam, and Christianity share?",1,"Do judaism, Islam, and Christianity share a belief in monotheism and ethical conduct?",0,,,,,,,,,,,,,,,,,,,
394,broca's area is located on the,left frontal lobe,What is located on the left frontal lobe?,1,What is broca's area located on?,1,Is broca's area located on the left frontal lobe?,0,,,,,,,,,,,,,,,,,,,
395,the largest expenditure in a campaign budget for the presidency or a statewide office todaywould almost certainly be,television advertising,What did the largest expenditure in a campaign budget for the presidency or a statewide office todaywould almost certainly be?,0,What todaywould almost certainly be television advertising?,1,Did the largest expenditure in a campaign budget for the presidency or a statewide office todaywould almost certainly be television advertising?,0,,,,,,,,,,,,,,,,,,,
396,the main goal of the Green Revolution was to,solve chronic food shortages through the use of technology,What was to solve chronic food shortages through the use of technology?,0,Was the main goal of the Green Revolution to solve chronic food shortages through the use of technology?,0,,0,,,,,,,,,,,,,,,,,,,
397,the use of government authority to control or change some practice in the private sector isknown as,regulation,,0,,0,,0,,,,,,,,,,,,,,,,,,,
398,the increase in the amount of output from an additional unit of labor is called,the marginal product of labor,What is called the marginal product of labor?,1,What is the increase in the amount of output from an additional unit of labor called?,1,What is the increase in the amount of output from an additional unit of labor called the marginal product of?,0,,,,,,,,,,,,,,,,,,,
399,the nature of groups and the government in hyperpluralist theory is,strong groups and weak government,What is the nature of groups and the government in hyperpluralist theory?,0,What is strong groups and weak government?,1,Is the nature of groups and the government in hyperpluralist theory strong groups and weak government?,0,,,,,,,,,,,,,,,,,,,
400,"In an attempt to modernize Japan during the late 1800s, the leaders of the Meiji government decided to?",study Western institutions and technology,Who decided to in an attempt to modernize Japan during the late 1800s?,0,What did the leaders of the Meiji government decide to in?,1,Did the leaders of the Meiji government decide to in an attempt to modernize Japan during the late 1800s?,0,,,,,,,,,,,,,,,,,,,
401,"When a country allows trade and becomes an importer of a good,",the gains of the winners exceed the losses of the losers,Who do the gains of the winners exceed the losses of?,0,What do the gains of the winners exceed?,0,What exceed the losses of the losers?,0,,,,,,,,,,,,,,,,,,,
402,In which way have the Andes Mountains and the Amazon rain forest affected the development of Latin America?,increasing cultural diversity,,,,,,,,,,,,,,,,,,,,,,,,,
403,"Which promotional tool is most effective in building up buyers' preferences, convictions, and, most importantly, actions?",personal selling,What are buyers ' preferences?,0,What are convictions?,0,Are buyers ' preferences convictions?,0,,,,,,,,,,,,,,,,,,,
404,homophobia refers to,fear and hatred toward gay men and lesbian women,What refers to fear and hatred toward gay men and lesbian women?,1,Who does homophobia refer to fear and hatred toward?,1,What does homophobia refer to toward gay men and lesbian women?,1,,,,,,,,,,,,,,,,,,,
405,giving up a dollar bill to purchase an ice cream cone best illustrates money’s function as a,medium of exchange,,,,,,,,,,,,,,,,,,,,,,,,,
406,the analysis of information starting with features and building into a complete perception is known as,bottom-up processing,What is known as bottom-up processing?,1,What is the analysis of information building into a complete perception known as?,1,What is the analysis of information starting with features known as?,0,,,,,,,,,,,,,,,,,,,
407,one of the reasons why the participation gap between minority groups and the nationalaverage is no longer enormous is because,minorities have a group consciousness that gives them an extra incentive to vote,What have a group consciousness that gives them an extra incentive to vote?,1,What is because minorities have a group consciousness that gives them an extra incentive to vote?,0,Do minorities have a group consciousness that gives them an extra incentive to vote?,0,,,,,,,,,,,,,,,,,,,
408,dysthymic disorder and cyclothymic disorder are two varieties of,mood disorder,How many varieties of mood disorder are dysthymic disorder and cyclothymic disorder?,0,What are dysthymic disorder and cyclothymic disorder two varieties of?,1,What are two varieties of mood disorder?,1,,,,,,,,,,,,,,,,,,,
409,public opinion is defined in the text as,the distribution of the population's beliefs about politics and policy,What is defined in the text as the distribution of the population's beliefs about politics and policy?,1,What is public opinion defined in?,0,Is public opinion defined in the text as the distribution of the population's beliefs about politics and policy?,0,,,,,,,,,,,,,,,,,,,
410,absolute advantage is found by,comparing the productivity of one nation to that of another,What is found by comparing the productivity of one nation to that of another?,1,Is absolute advantage found by comparing the productivity of one nation to that of another?,0,,,,,,,,,,,,,,,,,,,,,
411,in the 1800 election presidential candidates were nominated by,their parties ¹ elected representatives in Congress,Who were nominated by their parties elected representatives in Congress in the 1800 election?,1,What were presidential candidates nominated by their parties elected representatives in Congress in?,0,What were presidential candidates nominated by in the 1800 election?,1,,,,,,,,,,,,,,,,,,,
412,Consider the following two sentences. The producer price index measures the cost of a basket of goods and services purchased by firms. Changes in the producer price index are thought to be useful in predicting consumer prices,Both sentences are true,What measures the cost of a basket of goods and services purchased by firms?,1,What does the producer price index measure the cost of?,1,What does the producer price index measure?,0,,,,,,,,,,,,,,,,,,,
413,the Persian Gulf War showed that,women could serve as combat pilots,Who did the Persian Gulf War show that women could serve as?,0,What showed that women could serve as combat pilots?,1,Who did the Persian Gulf War show as?,0,,,,,,,,,,,,,,,,,,,
414,"In Ancient Egypt, the early pharaohs\' belief in their own divinity led them to?",be mummified for their afterlife,Where did the early pharaohs ' belief in their own divinity lead them to?,0,What did the early pharaohs ' belief in their own divinity lead them to in?,1,What led them to in Ancient Egypt?,0,,,,,,,,,,,,,,,,,,,
415,articles of impeachment must be passed by,the House,What must articles of impeachment be passed by?,0,What must be passed by the House?,0,Must articles of impeachment be passed by the House?,0,,,,,,,,,,,,,,,,,,,
416,The pattern of political rule in Southwest Asia after 900 BCE was one of?,a series of empires created by various invaders,What was the pattern of political rule in Southwest Asia after 900 BCE?,1,What was one of?,0,Was the pattern of political rule in Southwest Asia after 900 BCE one of?,0,,,,,,,,,,,,,,,,,,,
417,When a budget constraint shifts out,the consumer can now reach a higher indifference curve,What shifts out?,0,Does a budget constraint shift out?,0,,,,,,,,,,,,,,,,,,,,,
418,"for a candidate, the most important and desirable result of the early nomination contests is","doing better than expected, thus winning an image as the party's frontrunner and holder of momentum","What is doing better than expected, thus winning an image as the party's frontrunner and holder of momentum for a candidate?",0,,,,,,,,,,,,,,,,,,,,,,,
419,the imperialist policies followed by Japan after World War I were based on a desire to,obtain natural resources for manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
420,"in most traditional societies, the teaching of values is mainly the responsibility of the",family,What is mainly the responsibility of the family in most traditional societies?,1,What is the teaching of values mainly in most traditional societies?,0,What is the teaching of values mainly the responsibility of in most traditional societies?,1,,,,,,,,,,,,,,,,,,,
421,the fastest growing source of federal revenue has been,Social Security taxes,What has the fastest growing source of federal revenue been taxes?,0,What has been Social Security taxes?,0,What has the fastest growing source of federal revenue been?,1,,,,,,,,,,,,,,,,,,,
422,"if the price of oil decreases, the CPI",decreases more than the GDP deflator decreases,"If the price of oil decreases, what decreases more than the GDP deflator decreases?",1,"If the price of oil decreases, does the CPI decrease more than the GDP deflator decreases?",0,,,,,,,,,,,,,,,,,,,,,
423,"in the 1930 s, the Japanese government followed a policy of imperialism primarily to",acquire new sources of raw materials,What did the Japanese government follow primarily to acquire new sources of raw materials in the 1930 s?,1,What did the Japanese government follow a policy of imperialism primarily to acquire in the 1930 s?,0,What followed a policy of imperialism primarily to acquire new sources of raw materials in the 1930 s?,1,,,,,,,,,,,,,,,,,,,
424,both Japan and China decided to limit trade with Europe during much of the 16th and 17th centuries because the Japanese and the Chinese,believed they would receive no benefit from increased contact with the Europeans,Who did the Japanese and the Chinese believe they would receive no benefit from increased contact with?,0,Who believed they would receive no benefit from increased contact with the Europeans?,0,What did the Japanese and the Chinese believe they would receive from increased contact with the Europeans?,0,,,,,,,,,,,,,,,,,,,
425,the Supreme Court ruled in its Roe v. Wade decision that,abortion could not be prohibited by any state during the first trimester of pregnancy,What ruled in its Roe v. Wade decision that abortion could not be prohibited by any state during the first trimester of pregnancy?,1,When did the Supreme Court rule in its Roe v. Wade decision that abortion could not be prohibited by any state?,0,What did the Supreme Court rule in its Roe v. Wade decision that abortion could not be prohibited by during the first trimester of pregnancy?,0,,,,,,,,,,,,,,,,,,,
426,providing select information and a request for money to lists of people who have supportedcandidates of similar views in the past is a frequently used political technique known as,direct mail,,,,,,,,,,,,,,,,,,,,,,,,,
427,"if the price of a substitute to good X increases, then the",demand for good X will increase,"If the price of a substitute to good X increases, what will increase?",0,"If the price of a substitute to good X increases, will then the demand for good X increase?",0,,,,,,,,,,,,,,,,,,,,,
428,"in order to actually fund programs established by authorization bills, Congress must pass",an appropriations bill,What must pass an appropriations bill in order to actually fund programs established by authorization bills?,1,What must Congress pass in order to actually fund programs established by authorization bills?,1,What must Congress pass an appropriations bill in?,0,,,,,,,,,,,,,,,,,,,
429,Which revolution inspired Karl Marx and Friedrich Engels to express their ideas in The Communist Manifesto?,Industrial,,,,,,,,,,,,,,,,,,,,,,,,,
430,What is the purpose of measuring the overall level of prices in the economy?,to allow comparison between dollar figures from different points in time,,,,,,,,,,,,,,,,,,,,,,,,,
431,"In traditional Chinese culture, which philosophy had the greatest influence on the development of social order and political organization?",Confucianism,What had the greatest influence on the development of social order and political organization in traditional Chinese culture?,1,What did philosophy have in traditional Chinese culture?,0,What did philosophy have the greatest influence on the development of social order and political organization in?,0,,,,,,,,,,,,,,,,,,,
432,the Democratic and Republican candidates for president are formally nominated by the,national party conventions,Who are formally nominated by the national party conventions?,1,What are the Democratic and Republican candidates for president formally nominated by?,0,Are the Democratic and Republican candidates for president formally nominated by the national party conventions?,0,,,,,,,,,,,,,,,,,,,
433,"Consider the following two sentences. Both perfectly competitive and monopolistically competitive firms produce at the efficient scale. Perfectly competitive firms produce where price equals marginal cost, while monopolistically competitive firms produce where price is greater than marginal cost",Only the second sentence is correct,What produce where price is greater than marginal cost?,0,What do both perfectly competitive and monopolistically competitive firms produce at?,0,What produce at the efficient scale?,0,,,,,,,,,,,,,,,,,,,
434,Which type of government has resulted from the changing political trends in much of Latin America during the 1990 s?,democracy,,,,,,,,,,,,,,,,,,,,,,,,,
435,Which situation is most characteristic of a traditional society?,a boy learns his father\'s craft or occupation,Who learns his father's craft or occupation?,1,Whose craft or occupation does a boy learn?,1,What does a boy learn?,,,,,,,,,,,,,,,,,,,,
