,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
621,"When an image is stabilized on the retina, after a brief period of time the image",fades and disappears.,"When an image is stabilized on the retina, after a brief period of time the image",fades and disappears,What happens to an image when it stabilizes on the retina,Are optical illusions good for your brain?,na,,1,0,
622,"The Middle Eastern leaders Kemal Ataturk, David Ben-Gurion, and Yasir Arafat are best known for their support of",nationalism,"the Middle Eastern leaders Kemal Ataturk, David Ben-Gurion, and Yasir Arafat are best known for their support of",nationalism,"What ideology are Kemal Ataturk, David Ben-Gurion, and Yasir Arafat known for",na,na,,1,,
623,Most human characteristics are the result of many genes working in combination. This is referred to as,polygenic.,most human characteristics are the result of many genes working in combination. This is referred to as,polygenic,most human characteristics are the result of many genes working in combination . what does This is referred to as?,,,RULE BASED,1,,
624,The type of municipal government used least in the United States is the,commission government.,the type of municipal government used least in the United States is the,commission government,What is the type of municipal government used least in the United States ?,,,RULE BASED,1,,
625,The &quot;father&quot; of psychology and founder of the first psychological laboratory was,Wilhelm Wundt.,"the ""father"" of psychology and founder of the first psychological laboratory was",Wilhelm Wundt,What was the `` father '' of psychology and founder of the first psychological laboratory?,,,RULE BASED,0,,
626,"In addition to providing water for Indian agriculture, the Ganges River remains important to India because it is",a sacred river for the Hindu population,"in addition to providing water for Indian agriculture, the Ganges River remains important to India because it is",a sacred river for the Hindu population,"in addition to providing water for Indian agriculture, what is the Ganges River remains important to India because it?",,,RULE BASED,1,,
627,An increase in government spending initially and primarily shifts aggregate,demand right.,an increase in government spending initially and primarily shifts aggregate,demand right,What is the term for a shift in government spending,na,na,,1,,
628,"When production externalities exist, policymakers can sometimes improve market outcomes by",taxing negative externalities and subsidizing positive externalities.,"When production externalities exist, policymakers can sometimes improve market outcomes by",taxing negative externalities and subsidizing positive externalities,"Howwhen production externalities exist , policymakers can sometimes improve market?",,,RULE BASED,0,,
629,"In its McCulloch v. Maryland decision, the Supreme Court ruled in favor of",the supremacy of the national government over the states.,"in its McCulloch v. Maryland decision, the Supreme Court ruled in favor of",the supremacy of the national government over the states,What did the Supreme Court rule in favor of in McCulloch v. Maryland,Who did the Court rule in favor of in McCulloch v. Maryland?,na,,1,1,
630,Human arousal may be triggered by,thoughts and images.,human arousal may be triggered by,thoughts and images,How human arousal may be triggered?,,,RULE BASED,1,,
631,"On a map of the world, Asia is to Japan as Europe is to",Great Britain,"on a map of the world, Asia is to Japan as Europe is to",Great Britain,,,,RULE BASED,,,
632,"If the price of the product is equal to a consumer’s willingness to pay, then the consumer surplus of that purchase would be","zero, but the consumer would purchase the product.","if the price of the product is equal to a consumer’s willingness to pay, then the consumer surplus of that purchase would be","zero, but the consumer would purchase the product","if the price of the product is equal to a consumer ’ s willingness to pay , what would be then the consumer surplus of that purchase?",,,RULE BASED,1,,
633,A high-rise construction worker is typically paid a higher wage than a carpenter who builds residential housing primarily because,high-rise construction jobs are potentially more dangerous than carpenter jobs.,a high-rise construction worker is typically paid a higher wage than a carpenter who builds residential housing primarily because,high-rise construction jobs are potentially more dangerous than carpenter jobs,Why a high-rise construction worker is typically paid a higher wage than a carpenter who builds residential housing primarily?,,,RULE BASED,1,,
634,The Japanese feudal system and the Hindu caste system are similar in that both systems,developed a rigid class structure,the Japanese feudal system and the Hindu caste system are similar in that both systems,developed a rigid class structure,What do feudal and Hindu caste systems have in common,Is there caste in Japan?,na,,1,0,
635,Escalating campaign costs are a challenge to democracy because,it is believed that PAC contributions affect the way members of Congress vote on single issues.,escalating campaign costs are a challenge to democracy because,it is believed that PAC contributions affect the way members of Congress vote on single issues,Why escalating campaign costs are a challenge to democracy?,,,RULE BASED,1,,
636,The Great Wall of China was begun in 214 BCE to?:,guard against nomadic invasions.,The Great Wall of China was begun in 214 BCE to?,guard against nomadic invasions,What was the purpose of the Great Wall,na,na,,1,,
637,The main determinant of the price elasticity of supply is,time.,the main determinant of the price elasticity of supply is,time,What is the main determinant of the price elasticity of supply?,,,RULE BASED,1,,
638,A government-imposed maximum price at which a good can be sold is called a price,ceiling.,a government-imposed maximum price at which a good can be sold is called a price,ceiling,What is the government-imposed price at which a good can be sold called,na,na,,1,,
639,What is one way that social class is NOT measured?,number of children in the family,What is one way that social class is NOT measured?,number of children in the family,What is one way that social class is NOT measured,na,na,,1,,
640,Which list contains only things that would make people want to hold more money?,"Interest rates decrease, the price level increases.",Which list contains only things that would make people want to hold more money?,"Interest rates decrease, the price level increases",What happens when interest rates decrease,na,na,,0,,
641,The distribution of IQ scores,is approximately normal or bell-shaped.,the distribution of IQ scores,is approximately normal or bell-shaped,What shape is the distribution of IQ scores,Is IQ a normal distribution?,Are IQ scores normally distributed?,,1,0,0
642,The higher the reserve requirement ratio the,"less of each deposit banks may lend out, and the smaller the multiplier.",the higher the reserve requirement ratio the,"less of each deposit banks may lend out, and the smaller the multiplier",What did the higher the reserve requirement?,,,RULE BASED,0,,
643,Which sustainable marketing principle requires that a company seek real product and marketing improvements?,innovative,Which sustainable marketing principle requires that a company seek real product and marketing improvements?,innovative,What type of marketing principle requires that a company seek real product and marketing improvements,na,na,,1,,
644,"According to the Fisher effect, when the rate of money supply growth increases",None of the above is correct.,"according to the Fisher effect, when the rate of money supply growth increases",None of the above is correct,Is the Fisher effect correct,na,na,,0,,
645,The Federal Reserve System's Board of Governors sets discount rates at a higher level,to decrease the amount of money in circulation.,the Federal Reserve System's Board of Governors sets discount rates at a higher level,to decrease the amount of money in circulation,Why are discount rates set higher,na,na,,1,,
646,The Marshall Plan,poured billions of dollars into war-ravaged European nations after World War II.,the Marshall Plan,poured billions of dollars into war-ravaged European nations after World War II,What did the Marshall Plan do,Who did the Marshall Plan offer money to after WWII?,na,,1,1,
647,A price floor is binding if it is,higher than the equilibrium market price.,a price floor is binding if it is,higher than the equilibrium market price,What is a price floor is binding if it?,,,RULE BASED,1,,
648,Which concept calls for aggressive selling and focuses on generating transactions to obtain profitable sales?,selling,Which concept calls for aggressive selling and focuses on generating transactions to obtain profitable sales?,selling,Which concept calls for aggressive what,na,na,,0,,
649,House incumbents typically receive,generous support from their party campaign committees.,house incumbents typically receive,generous support from their party campaign committees,What kind of support do house incumbents typically receive,Does the government provide campaign funds for incumbents?,Do incumbents normally win?,,0,0,0
650,The idea that just a few groups have all the power is associated with,elite theory.,the idea that just a few groups have all the power is associated with,elite theory,What theory is associated with the idea that a few groups have all the power,na,na,,1,,
651,Teaching your cat to turn on the living room lights would best be accomplished by,shaping.,teaching your cat to turn on the living room lights would best be accomplished by,shaping,How teaching your cat to turn on the living room lights would best be accomplished?,,,RULE BASED,1,,
652,The most important effect of the constitutional amendments has been to,expand liberty and equality.,the most important effect of the constitutional amendments has been to,expand liberty and equality,,,,RULE BASED,,,
653,"Speaker A:  The gods approached Vishnu, the lord of creatures, and said: Indicate to us that one person among mortals who alone is worthy of the highest rank . . . Vishnu reflected, and brought forth a glorious son who became the first king.",A and D,"speaker A  The gods approached Vishnu, the lord of creatures, and said Indicate to us that one person among mortals who alone is worthy of the highest rank . . . Vishnu reflected, and brought forth a glorious son who became the first king",A and D,What are the names of the gods who approached Vishnu,na,na,,0,,
654,"A pollster using a representative sample of 1,500 Americans finds that 52 percent supportcandidate X and 48 percent support candidate Y. The pollster's conclusion should be that",the race is too close to call because of a possible sampling error.,"a pollster using a representative sample of 1,500 Americans finds that 52 percent supportcandidate X and 48 percent support candidate Y. The pollster's conclusion should be that",the race is too close to call because of a possible sampling error,Why is the race too close to call,na,na,,0,,
655,"In the past, European nations have conquered other lands, made them into colonies, and controlled their economies.",industrialization of Europe and the need for raw materials,"in the past, European nations have conquered other lands, made them into colonies, and controlled their economies",industrialization of Europe and the need for raw materials,Why have European nations controlled other lands,na,na,,0,,
656,An immediate result of the fall of the Roman Empire was,a period of disorder and weak central government,an immediate result of the fall of the Roman Empire was,a period of disorder and weak central government,What was an immediate result of the fall of the Roman Empire?,,,RULE BASED,1,,
657,The average twelve-year-old child has a mental age equal to,12,the average twelve-year-old child has a mental age equal to,12,,,,RULE BASED,,,
658,A myth about members of Congress is that they,"are overpaid, underworked, corrupt, and ineffective.",a myth about members of Congress is that they,"are overpaid, underworked, corrupt, and ineffective",What is a myth about members of Congress,na,na,,1,,
659,"If an in-kind transfer forces the recipient to consume more of the good than he would choose with a cash transfer of equal value, then the recipient",would prefer a cash transfer of equal dollar value.,"if an in-kind transfer forces the recipient to consume more of the good than he would choose with a cash transfer of equal value, then the recipient",would prefer a cash transfer of equal dollar value,Is an in-kind transfer always worse than the cash equivalent?,What would the recipient prefer,na,,0,0,
660,One problem that occurs when the government places a tax on gasoline is that it,"discourages driving on congested roads, but also on noncongested roads that have no congestion externality.",one problem that occurs when the government places a tax on gasoline is that it,"discourages driving on congested roads, but also on noncongested roads that have no congestion externality",What does the tax on gasoline do,Is congestion pricing a tax?,Is tax on gas regressive?,,1,0,0
661,The most powerful person in the Senate is the,majority leader.,the most powerful person in the Senate is the,majority leader,What is the most powerful person in the Senate ?,,,RULE BASED,1,,
662,A nerve cell carrying information from your brain to muscles and glands is called a(n),motor neuron.,a nerve cell carrying information from your brain to muscles and glands is called a(n),motor neuron,What is a cell that transmits information from the brain to muscles called,na,na,,1,,
663,Elite theorists emphasize the power of,business leaders.,elite theorists emphasize the power of,business leaders,Who are elite theorists,na,na,,0,,
664,The most basic perceptual organization is,figure-ground.,the most basic perceptual organization is,figure-ground,What is the most basic perceptual organization?,,,RULE BASED,1,,
665,The main idea of this cartoon is that Japan,restricts foreign imports,the main idea of this cartoon is that Japan,restricts foreign imports,What does Japan do to foreign imports,na,na,,0,,
666,"For most newspapers in medium-sized cities and small towns, their principal source forreporting national and world news is",The Associated Press.,"for most newspapers in medium-sized cities and small towns, their principal source forreporting national and world news is",The Associated Press,"for most newspapers in medium-sized cities and small towns, what is their principal source forreporting national and world news?",,,RULE BASED,1,,
667,"According to this scenario, if trade in pineapple is allowed, the price of pineapple in the United States",will increase.,"according to this scenario, if trade in pineapple is allowed, the price of pineapple in the United States",will increase,What would happen to the price of pineapple if trade in pineapple is allowed,na,na,,1,,
668,The most important application of privacy rights has come in the area of,abortion.,the most important application of privacy rights has come in the area of,abortion,What is the most important application of privacy rights,na,na,,1,,
669,"A wind has been blowing from the West; now it will begin to blow from the East.   Mao Zedong, 1949",European power will decline as a new center of power emerges in Asia.,"a wind has been blowing from the West; now it will begin to blow from the East.   Mao Zedong, 1949",European power will decline as a new center of power emerges in Asia,What will happen to European power as Asia emerges,na,na,,1,,
670,The largest racial/ethnic minority group in the United States is,Hispanics.,the largest racial/ethnic minority group in the United States is,Hispanics,What is the largest racial/ethnic minority group in the United States?,,,RULE BASED,1,,
671,Most television news analysis reports,last less than a minute.,most television news analysis reports,last less than a minute,How long are most television news reports,na,na,,1,,
672,One of the characteristics of the scientific method is,repeatable results.,one of the characteristics of the scientific method is,repeatable results,What is one of the characteristics of the scientific method?,,,RULE BASED,1,,
673,"If Jane's intelligence quotient is 100, we know that she has a",mental age typical of children who have the same chronological age.,"if Jane's intelligence quotient is 100, we know that she has a",mental age typical of children who have the same chronological age,,,,RULE BASED,,,
674,The rise of independent states in Asia and Africa after World War II demonstrates the,decline of European colonial empires,the rise of independent states in Asia and Africa after World War II demonstrates the,decline of European colonial empires,What does the rise of independent states in Asia and Africa after World War II?,,,RULE BASED,0,,
675,"Karen smokes two packs of cigarettes a day. However, she is aware that smoking is harmful to her health; therefore, she holds two conflicting or dissonant thoughts. If Karen were to reduce her cognitive dissonance by changing her attitude, she might say to herself,",&quot;Smoking really isn't that dangerous.&quot;,"Karen smokes two packs of cigarettes a day. However, she is aware that smoking is harmful to her health; therefore, she holds two conflicting or dissonant thoughts. If Karen were to reduce her cognitive dissonance by changing her attitude, she might say to herself,","""Smoking really isn't that dangerous.""",How does Karen feel about smoking,na,na,,0,,
676,Which event was used by Mohandas Gandhi to bring world attention to the injustices of British colonialism in India?:,Salt March.,Which event was used by Mohandas Gandhi to bring world attention to the injustices of British colonialism in India?,Salt March,What event was used by Mohandas Gandhi to bring attention to the injustices of British colonialism in India,na,na,,1,,
677,"During the rule of King Nebuchadnezzar, Babylon?:",became known as one of the world\'s most beautiful cities.,"During the rule of King Nebuchadnezzar, Babylon?",became known as one of the world\'s most beautiful cities,What happened to Babylon during the rule of King Nebuchadnezzar,na,na,,1,,
678,Which is generally characteristic of a nation undergoing the process of industrialization?:,conflicts between modern ideas and traditional ways of life.,Which is generally characteristic of a nation undergoing the process of industrialization?,conflicts between modern ideas and traditional ways of life,What is characteristic of a nation undergoing industrialization,na,na,,1,,
679,One major result of the Crusades was the,spread of Middle Eastern culture and technology to Europe,one major result of the Crusades was the,spread of Middle Eastern culture and technology to Europe,What was one major result of the Crusades ?,,,RULE BASED,1,,
680,A major goal of the Cultural Revolution in China during the 1960 s was to,eliminate opposition to Mao Zedong,a major goal of the Cultural Revolution in China during the 1960 s was to,eliminate opposition to Mao Zedong,,,,RULE BASED,,,
681,Messages from the body's pain warning system,close the spinal gate directly.,messages from the body's pain warning system,close the spinal gate directly,What do you do to the spinal gate,na,na,,0,,
682,One factor that accounted for Chinese influence on traditional Japanese culture was the,geographic location of the countries,one factor that accounted for Chinese influence on traditional Japanese culture was the,geographic location of the countries,What was one factor that accounted for Chinese influence on traditional Japanese culture ?,,,RULE BASED,1,,
683,"Information is remembered without explicit cues or stimuli, often verbatim in",recall.,"information is remembered without explicit cues or stimuli, often verbatim in",recall,"information is remembered without explicit cues or stimuliWhere is  remembered without explicit cues or stimuli , often verbatim?",,,RULE BASED,0,,
684,Economists refer to the study of how the allocation of resources affects economic well-being as,welfare economics.,economists refer to the study of how the allocation of resources affects economic well-being as,welfare economics,What does economists refer to the study of how the allocation of resources affects economic well-being as?,,,RULE BASED,1,,
685,A monopolistically competitive firm chooses,the quantity of output to produce and the price of its output.,a monopolistically competitive firm chooses,the quantity of output to produce and the price of its output,What two things does a monopolistically competitive firm choose,na,na,,1,,
686,"During the 1960s and 1970s, the income distribution in the United States","remained much the same, which is fairly unequal.","during the 1960s and 1970s, the income distribution in the United States","remained much the same, which is fairly unequal",Did the income distribution in the United States change or decrease between the 1960s and 1970s,Has income inequality decreased since the 1970s?,na,,1,0,
687,A study of the French Revolution and the Russian Revolution of 1917 would lead to the conclusion that,control of revolutions often shifts from moderates to radicals,a study of the French Revolution and the Russian Revolution of 1917 would lead to the conclusion that,control of revolutions often shifts from moderates to radicals,What happens to the control of revolutions,na,na,,0,,
688,"Throughout most of its independent existence, Pakistan has been governed by?:",a military dictatorship.,"Throughout most of its independent existence, Pakistan has been governed by?",a military dictatorship,What has Pakistan been governed by,Is Pakistan a dictatorship?,Does Pakistan have a military government?,,1,0,0
689,"According to the text, lobbying works best",on people already committed to the lobbyist's policy position.,"according to the text, lobbying works best",on people already committed to the lobbyist's policy position,Where does lobbying work best,Who do lobbyists work for quizlet?,na,,1,0,
690,The filibuster,is unique to the Senate.,the filibuster,is unique to the Senate,Is filibuster unique to the Senate,Is the filibuster in the Senate?,na,,0,0,
691,"According to Frederick Jackson Turner, the existence of the frontier in American history mostdirectly resulted in",a strong preference for limited government.,"according to Frederick Jackson Turner, the existence of the frontier in American history mostdirectly resulted in",a strong preference for limited government,"according to Frederick Jackson Turner Where did , the existence of the frontier in American history mostdirectly result?",,,RULE BASED,0,,
692,The chairperson of the party that controls the White House is normally selected by,the president.,the chairperson of the party that controls the White House is normally selected by,the president,Howthe chairperson of the party that controls the White House is normally?,,,RULE BASED,0,,
693,One advantage market economies have over central planning is that market economies,are more efficient.,one advantage market economies have over central planning is that market economies,are more efficient,Are market economies more efficient than central planning,Are market economies more efficient than centrally planned economies?,na,,0,0,
694,U.S. income data from 1998 show that the bottom one-fifth of all families received,4 percent of all income.,u.S. income data from 1998 show that the bottom one-fifth of all families received,4 percent of all income,What percentage of income did the bottom one-fifth of all families receive,na,na,,1,,
695,What was one reason the Nazi programs and policies of the early 1930 s appealed to many people in Germany?,the people were frustrated with their current economic and political situation,What was one reason the Nazi programs and policies of the early 1930 s appealed to many people in Germany?,the people were frustrated with their current economic and political situation,What was one reason the Nazi programs appealed to many people in Germany,na,na,,1,,
696,"During the Stanford Prison study,",guards readily assumed their roles as agents of force.,"during the Stanford Prison study,",guards readily assumed their roles as agents of force,Why did the guards assume their roles as agents of force,na,na,,0,,
697,Stare decisis means that cases are,decided on the basis of precedent.,stare decisis means that cases are,decided on the basis of precedent,What are stare decisis means that cases?,,,RULE BASED,0,,
698,"If Dale sells a shirt for $40, and his producer surplus from the sale is $23, his cost must have been",$17.00,"if Dale sells a shirt for $40, and his producer surplus from the sale is $23, his cost must have been",$17.00,What is Dale's producer surplus,na,na,,0,,
699,"During the 1980 s, the Soviet Union experimented with modifications of its command economy by",introducing some market economy strategies,"during the 1980 s, the Soviet Union experimented with modifications of its command economy by",introducing some market economy strategies,"Howduring the 1980 s , the Soviet Union experimented with modifications of its command?",,,RULE BASED,1,,
700,The political resource that has the most potential to turn a situation of stalemate between thepresident and Congress into one supportive of the president's legislative proposals is,public approval.,the political resource that has the most potential to turn a situation of stalemate between thepresident and Congress into one supportive of the president's legislative proposals is,public approval,What is the political resource that has the most potential to turn a situation of stalemate between thepresident and Congress into one supportive of the president 's legislative proposals?,,,RULE BASED,0,,
701,Which statement best describes the Roman Catholic Church in most Latin American countries in the 1980 s?,the church has become active in social and human rights issues,Which statement best describes the Roman Catholic Church in most Latin American countries in the 1980 s?,the church has become active in social and human rights issues,What has the Roman Catholic Church become active in social and human rights issues,na,na,,0,,
702,A field experiment is one that,uses the &quot;real world&quot; as a laboratory.,a field experiment is one that,"uses the ""real world"" as a laboratory",What does a field experiment do,na,na,,1,,
703,A perfectly elastic demand implies that,any rise in price above that represented by the demand curve will result in no output demanded.,a perfectly elastic demand implies that,any rise in price above that represented by the demand curve will result in no output demanded,What does a perfectly elastic demand mean,na,na,,1,,
704,Budget items mandated by law or by a previous obligation are known as,uncontrollable expenditures.,budget items mandated by law or by a previous obligation are known as,uncontrollable expenditures,What are budget items mandated by law or by a previous obligation called?,,,RULE BASED,1,,
705,Mood disorders are those in which the person may,experience severe depression and threaten suicide.,mood disorders are those in which the person may,experience severe depression and threaten suicide,What do people who have mood disorders do,Are mood disorders are a major risk factor for suicide?,na,,0,0,
706,"After World War II, the conflict between Hindus and Muslims in India resulted in the",creation of the Muslim state of Pakistan,"after World War II, the conflict between Hindus and Muslims in India resulted in the",creation of the Muslim state of Pakistan,"after World War II Where did , the conflict between Hindus and Muslims in India result?",,,RULE BASED,0,,
707,Subgovernments promote,decentralized and fragmented policymaking.,subgovernments promote,decentralized and fragmented policymaking,What type of policymaking does subgovernments promote,Is Switzerland decentralized?,na,,1,0,
708,The five-factor model of personality includes,conscientiousness.,the five-factor model of personality includes,conscientiousness,What is the five-factor model of personality,Who gave 5 factor model of personality briefly explain the model?,Who gave the 5-Factor model of personality explain 5-Factor model of personality?,,0,0,0
709,Slavery was declared unconstitutional by the,Thirteenth Amendment.,slavery was declared unconstitutional by the,Thirteenth Amendment,What was slavery declared unconstitutional?,,,RULE BASED,0,,
710,Which of these was NOT among John Locke's key philosophical concepts?,checks and balances,Which of these was NOT among John Locke's key philosophical concepts?,checks and balances,What was not among John Locke's key philosophical concepts,na,na,,0,,
711,"If the price of oil decreases, the CPI",decreases more than the GDP deflator decreases.,"if the price of oil decreases, the CPI",decreases more than the GDP deflator decreases,What happens to the CPI if the price of oil decreases,Is oil part of CPI?,Is oil included in the CPI?,,1,0,0
712,Experiments with the visual cliff show that,human infants perceive depth by the age of six months.,experiments with the visual cliff show that,human infants perceive depth by the age of six months,How old are infants to perceive depth,na,na,,0,,
713,"If self-esteem is too high, the person may be",arrogant.,"if self-esteem is too high, the person may be",arrogant,"if self-esteem is too high , what would  the person may?",,,RULE BASED,1,,
714,Tardive dyskinesia is a neurological disorder that may be caused by,taking major tranquilizers for extended periods.,tardive dyskinesia is a neurological disorder that may be caused by,taking major tranquilizers for extended periods,How tardive dyskinesia is a neurological disorder that may be caused?,,,RULE BASED,0,,
715,"In Europe, a major characteristic of humanism was",an appreciation for the basic worth of individual achievement,"in Europe, a major characteristic of humanism was",an appreciation for the basic worth of individual achievement,"in Europe, what was a major characteristic of humanism?",,,RULE BASED,1,,
716,Cue-dependent (or context dependent) theories of memory suggest that you would do best on your chemistry test if you could be tested,in the room where you studied.,cue-dependent (or context dependent) theories of memory suggest that you would do best on your chemistry test if you could be tested,in the room where you studied,Where did you study for a chemistry test,na,na,,0,,
717,"In the People s Republic of China, which factor best reflects Marxism?",communal work teams on farms,"In the People s Republic of China, which factor best reflects Marxism?",communal work teams on farms,What does the People s Republic of China use to represent Marxism,Who was responsible for China's support of communism and the People's Republic of China *?,na,,1,0,
718,The nearly two centuries of American electoral history has been characterized by,expansion of the right to vote.,the nearly two centuries of American electoral history has been characterized by,expansion of the right to vote,How has characterized the nearly two centuries of American electoral history?,,,RULE BASED,0,,
719,If the government decided that it wanted lower inflation it would,decrease aggregate demand which would increase unemployment.,if the government decided that it wanted lower inflation it would,decrease aggregate demand which would increase unemployment,What would the government do if it wanted to lower inflation,Does an increase in aggregate demand reduce unemployment?,Does unemployment increase or decrease inflation?,,1,0,0
720,"In the Soviet Union, a negative aspect of the Cold War Era was the",high cost of maintaining the arms race,"in the Soviet Union, a negative aspect of the Cold War Era was the",high cost of maintaining the arms race,"in the Soviet UnionWhat was , a negative aspect of the Cold War Era ?",,,RULE BASED,1,,
721,Historically disadvantaged groups tend to,vote Democratic.,historically disadvantaged groups tend to,vote Democratic,,,,RULE BASED,,,
722,Which is a method to reduce prejudice?,mutual interdependence,Which is a method to reduce prejudice?,mutual interdependence,What is a method to reduce prejudice,na,na,,1,,
723,"Which type of sales approach is best for today's customers who expect answers, results, and useful products?",customer-solution,"Which type of sales approach is best for today's customers who expect answers, results, and useful products?",customer-solution,What type of sales approach is best for today's customers,na,na,,1,,
724,"In operant conditioning, what is the relationship between events critical to learning and the response to be learned?",They occur after the response.,"In operant conditioning, what is the relationship between events critical to learning and the response to be learned?",They occur after the response,When do the events critical to learning occur,na,na,,0,,
725,"According to the text, public opinion polls are",important because policymakers can keep in touch with changing opinions on the issues.,"according to the text, public opinion polls are",important because policymakers can keep in touch with changing opinions on the issues,"according to the text, what are public opinion polls?",,,RULE BASED,0,,
726,Two of the most important principles of democratic theory are majority rule and,minority rights.,two of the most important principles of democratic theory are majority rule and,minority rights,What is one of the most important principles of democratic theory,Is democracy a majority rule?,na,,1,0,
727,The Associated Press is an example of a,wire service.,the Associated Press is an example of a,wire service,,,,RULE BASED,,,
728,"A barefoot child steps on a bee, then jerks his or her foot back in response to the sting. This response has likely involved all parts of the nervous system EXCEPT",the brain.,"a barefoot child steps on a bee, then jerks his or her foot back in response to the sting. This response has likely involved all parts of the nervous system EXCEPT",the brain,What part of the body is involved in the stinging of bees,na,na,,0,,
729,Which statement best reflects a belief of Mohandas Gandhi?,"India must achieve independence, but not at the expense of further dividing the Indian people",Which statement best reflects a belief of Mohandas Gandhi?,"India must achieve independence, but not at the expense of further dividing the Indian people",Which statement reflects the belief of Mohandas Gandhi,na,na,,0,,
730,"Within their respective nations, both Ho Chi Minh and Fidel Castro achieved their goals by",using armed conflict to bring a communist government to power,"within their respective nations, both Ho Chi Minh and Fidel Castro achieved their goals by",using armed conflict to bring a communist government to power,"Howwithin their respective nations , both Ho Chi Minh and Fidel Castro achieved their?",,,RULE BASED,0,,
731,"When Ben Franklin died he left $5,000 to be invested for a period of 200 years to benefit medical students and scientific research. According to the “rule of 70,” how often would this money have doubled if it grew 7 percent per year every year?",about every 10 years,"When Ben Franklin died he left $5,000 to be invested for a period of 200 years to benefit medical students and scientific research. According to the “rule of 70,” how often would this money have doubled if it grew 7 percent per year every year?",about every 10 years,How often would the money have doubled if it had grown 7 percent per year,na,na,,0,,
732,The impact of TV news is that it,alters the priorities Americans attach to a circumscribed set of problems.,the impact of TV news is that it,alters the priorities Americans attach to a circumscribed set of problems,What effect does TV news have on Americans,na,na,,1,,
733,What impact did Gupta mathematicians have on civilization?:,they developed the Arabic number system and the concept of zero.,What impact did Gupta mathematicians have on civilization?,they developed the Arabic number system and the concept of zero,What did Gupta mathematicians develop,Did the Gupta make the concept of zero?,Who introduced the zero to the Arabic number system?,,1,0,1
734,"In Spain, an effect of the Inquisition during the 16th century was to",prevent the introduction of Protestant religions,"in Spain, an effect of the Inquisition during the 16th century was to",prevent the introduction of Protestant religions,,,,RULE BASED,,,
735,If the economy is experiencing stagflation and the Fed increases the money supply in the short run output,"increases, in the long run the price level increases.",if the economy is experiencing stagflation and the Fed increases the money supply in the short run output,"increases, in the long run the price level increases",Does stagflation increase price level?,What happens to the price level in the long run,na,,0,0,
736,The publication of statements known to be false that are malicious and tend to damage aperson's reputation is called,libel.,the publication of statements known to be false that are malicious and tend to damage aperson's reputation is called,libel,What is the publication of statements known to be false that are malicious and tend to damage aperson 's reputation called?,,,RULE BASED,1,,
737,Probably the earliest people to use iron were the?:,Hittites.,Probably the earliest people to use iron were the?,Hittites,Who were the earliest people to use iron,Who were the earliest people to use iron?,Who used iron first?,,1,0,0
738,The Eighth Amendment to the Constitution,forbids cruel and unusual punishment.,the Eighth Amendment to the Constitution,forbids cruel and unusual punishment,What does the Eighth Amendment do,na,na,,1,,
739,"The sticky wage theory of the short-run aggregate supply curve says that when the price level rises more than expected, the real wage","falls, so employment rises.","the sticky wage theory of the short-run aggregate supply curve says that when the price level rises more than expected, the real wage","falls, so employment rises","When the price level rises more than expected, what happens to the real wage",na,na,,1,,
740,The Soviet Union Splits into 15 Republics Yugoslavia Experiences Internal Conflict,the forces of nationalism can either divide of unite a nation,the Soviet Union Splits into 15 Republics Yugoslavia Experiences Internal Conflict,the forces of nationalism can either divide of unite a nation,What can divide or unite a nation,na,na,,0,,
741,The white primary,"excluded blacks from primary elections, thus depriving them of a voice in the real electoral contests in the South.",the white primary,"excluded blacks from primary elections, thus depriving them of a voice in the real electoral contests in the South",Why did the white primary exclude blacks from primary elections,na,na,,0,,
742,Critics of supply-side economics suggest that substantial tax cuts would lead to,large government deficits.,critics of supply-side economics suggest that substantial tax cuts would lead to,large government deficits,,,,RULE BASED,,,
743,The major goal of the Green Revolution has been to,increase agricultural output,the major goal of the Green Revolution has been to,increase agricultural output,,,,RULE BASED,,,
744,Gandhi transformed the Indian independence movement from?:,an elite to a mass movement.,Gandhi transformed the Indian independence movement from?,an elite to a mass movement,What did Gandhi transform the Indian independence movement from,na,na,,1,,
745,"Members of management at Growing Green, a company that markets organic and environmentally friendly gardening and landscaping supplies and equipment, are evaluating the benefits and disadvantages of indirect exporting, direct exporting, and licensing. In which stage of the international marketing process is Growing Green?",deciding how to enter the market,"Members of management at Growing Green, a company that markets organic and environmentally friendly gardening and landscaping supplies and equipment, are evaluating the benefits and disadvantages of indirect exporting, direct exporting, and licensing. In which stage of the international marketing process is Growing Green?",deciding how to enter the market,What is the first stage of the international marketing process for Growing Green,na,na,,0,,
746,"Most companies are started by individuals who live by their wits. They visualize an opportunity, construct flexible strategies on the backs of envelopes, and knock on every door to gain attention. What stage in marketing strategy are these individuals in?",entrepreneurial marketing,"Most companies are started by individuals who live by their wits. They visualize an opportunity, construct flexible strategies on the backs of envelopes, and knock on every door to gain attention. What stage in marketing strategy are these individuals in?",entrepreneurial marketing,What stage of marketing are these individuals in,na,na,,0,,
747,"To be confident that a cause-and-effect relationship exists, it is necessary to",perform a controlled experiment.,"to be confident that a cause-and-effect relationship exists, it is necessary to",perform a controlled experiment,,,,RULE BASED,,,
